Reveal,k=5,,,k=10,,,k=15,,,k=20,,
,Accuracy,IoU,Precision,Accuracy,IoU,Precision,Accuracy,IoU,Precision,Accuracy,IoU,Precision
max(this paper),0.517,0.409,0.937,0.574,0.479,0.924,0.619,0.54,0.916,0.635,0.578,0.908
sum,0.35,0.238,0.948,0.396,0.293,0.909,0.43,0.35,0.89,0.458,0.385,0.881
average,0.352,0.24,0.945,0.404,0.305,0.896,0.476,0.373,0.864,0.528,0.425,0.841
,,,,,,,,,,,,
IVDetect,k=5,,,k=10,,,k=15,,,k=20,,
,Accuracy,IoU,Precision,Accuracy,IoU,Precision,Accuracy,IoU,Precision,Accuracy,IoU,Precision
max(this paper),0.513,0.396,0.917,0.583,0.466,0.903,0.621,0.52,0.884,0.662,0.553,0.866
sum,0.349,0.246,0.9,0.398,0.301,0.866,0.441,0.348,0.854,0.48,0.385,0.851
average,0.351,0.26,0.882,4.07,0.33,0.838,0.485,0.39,0.815,0.548,0.438,0.901
,,,,,,,,,,,,
DeepWukong,k=5,,,k=10,,,k=15,,,k=20,,
,Accuracy,IoU,Precision,Accuracy,IoU,Precision,Accuracy,IoU,Precision,Accuracy,IoU,Precision
max(this paper),0.493,0.344,0.873,0.549,0.397,0.84,0.607,0.46,0.832,0.632,0.495,0.829
sum,0.331,0.199,0.941,0.37,0.25,0.933,0.442,0.304,0.91,0.465,0.337,0.887
average,0.349,0.206,0.937,0.429,0.274,0.893,0.51,0.351,0.854,0.538,0.404,0.828
,,,,,,,,,,,,
Devign,k=5,,,k=10,,,k=15,,,k=20,,
,Accuracy,IoU,Precision,Accuracy,IoU,Precision,Accuracy,IoU,Precision,Accuracy,IoU,Precision
max(this paper),0.481,0.358,0.926,0.531,0.438,0.896,0.614,0.488,0.863,0.658,0.527,0.852
sum,0.308,0.223,0.887,0.362,0.289,0.842,0.432,0.342,0.832,0.468,0.382,0.815
average,0.337,0.249,0.857,0.407,0.334,0.809,0.473,0.4,0.776,0.531,0.432,0.759
